date,avg_temp_c,precip_mm,condition
2025-05-23,19.5,0.0,Sunny
2025-05-22,18.2,0.0,Partly cloudy
2025-05-21,18.8,0.0,Partly cloudy
2025-05-20,18.1,0.0,Partly cloudy
2025-05-19,17.0,0.1,Overcast
2025-05-18,17.5,0.7,Patchy rain possible
2025-05-17,19.9,0.0,Sunny
